Easting (m),Northing (m),Heading (°),Distance (cm)
194765.859798695,1947770.5931163942,-145.0,18.06
194765.81908208338,1947770.5921308636,-151.0,21.57
194789.93305460454,1947742.106535672,-82.0,20.4
194781.55178895532,1947729.9052856576,-112.0,25.13
194781.5743362765,1947729.5263237995,-111.0,18.1
194781.5672047543,1947729.5077455488,-111.0,20.09
194781.56274366964,1947729.506063632,-112.0,20.41
194781.56345542218,1947729.5078252812,-112.0,20.22
194781.57599555288,1947729.5216466603,-110.0,18.48
194781.56441787028,1947729.47811624,-109.0,22.97
194774.2207847841,1947710.49242721,18.0,21.5
194773.10751662686,1947707.4263298986,-94.0,24.45
194773.11534525562,1947707.4941759221,-93.0,17.63
194773.9468126969,1947706.8276637944,-96.0,16.61
194773.9492102336,1947706.8218072518,-95.0,17.17
194773.94866115245,1947706.8155312252,-95.0,17.8
194773.9484694098,1947706.8133395966,-95.0,18.02
194773.946377672,1947706.789430924,-95.0,20.42
194773.95328376215,1947706.7850390752,-93.0,20.81
194772.395512376,1947708.9081557742,-92.0,21.32
194772.39562056444,1947708.9112538858,-92.0,21.01
194773.13913708055,1947708.6630777235,-91.0,22.54
194773.1336235592,1947708.617908297,-92.0,27.07
194746.12493284626,1947704.5111467643,-176.0,28.74
194746.15468537502,1947704.5177287334,-177.0,25.73
194745.3336968018,1947704.5281383893,-176.0,22.88
194745.3378865708,1947704.5284313667,-176.0,22.46
194744.46534904855,1947704.5397378753,-176.0,24.75
194754.05052829883,1947720.2430783575,49.0,27.34
194755.5659413465,1947719.4962954384,53.0,18.56
194755.56395535692,1947719.4936599412,53.0,18.23
194755.55620501668,1947719.0493170824,53.0,18.06
194755.55710496608,1947719.0453494233,52.0,17.8
194755.66047757867,1947719.0837784647,40.0,27.8
194745.5043948915,1947718.3639588754,-175.0,26.88
194745.54074678128,1947718.3630625657,-174.0,23.27
194743.9770815675,1947719.0500279176,-173.0,21.36
194743.9762875306,1947719.049930422,-173.0,21.44
194743.95266493218,1947719.0470299318,-173.0,23.82
194741.21852384636,1947727.6985749411,-19.0,20.18
194747.7336540279,1947731.745643313,-56.0,28.87
194747.70966465233,1947731.781209025,-56.0,24.58
194747.70541478627,1947731.7875097105,-56.0,23.82
194749.27888824826,1947730.879327001,-57.0,23.31
194749.27839807313,1947730.8800818045,-57.0,23.22
194749.28166590733,1947730.875049781,-57.0,23.82
194749.29299439926,1947730.8576054333,-57.0,25.9
194741.7205384646,1947732.0665931222,-179.0,22.25
194741.74850457677,1947732.0704762826,-180.0,19.45
194741.76931045105,1947732.06441075,-178.0,17.38
194741.7782050294,1947732.0647213557,-178.0,16.49
194740.8983186278,1947732.6513354224,-184.0,20.39
194740.83613643114,1947732.6603477984,-185.0,26.66
194744.09793396635,1947750.9052873473,-16.0,28.52
